Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
NATURE,0028-0836,1476-4687,NATURE PORTFOLIO,"HEIDELBERGER PLATZ 3, BERLIN, Germany, 14197",English,Multidisciplinary Sciences
SCIENCE,0036-8075,1095-9203,AMER ASSOC ADVANCEMENT SCIENCE,"1200 NEW YORK AVE, NW, WASHINGTON, USA, DC, 20005",English,Multidisciplinary Sciences
SCIENCE ADVANCES,2375-2548,2375-2548,AMER ASSOC ADVANCEMENT SCIENCE,"1200 NEW YORK AVE, NW, WASHINGTON, USA, DC, 20005",English,Multidisciplinary Sciences
NATURE COMMUNICATIONS,2041-1723,2041-1723,NATURE PORTFOLIO,"HEIDELBERGER PLATZ 3, BERLIN, Germany, 14197",English,Multidisciplinary Sciences
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,1091-6490,NATL ACAD SCIENCES,"2101 CONSTITUTION AVE NW, WASHINGTON, USA, DC, 20418",English,Multidisciplinary Sciences
SCIENTIFIC DATA,2052-4463,2052-4463,NATURE PORTFOLIO,"HEIDELBERGER PLATZ 3, BERLIN, Germany, 14197",English,Multidisciplinary Sciences
FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,2296-4185,2296-4185,FRONTIERS MEDIA SA,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, SWITZERLAND, CH-1015",English,Multidisciplinary Sciences
SCIENTIFIC REPORTS,2045-2322,2045-2322,NATURE PORTFOLIO,"HEIDELBERGER PLATZ 3, BERLIN, Germany, 14197",English,Multidisciplinary Sciences
PLOS ONE,1932-6203,1932-6203,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, USA, CA, 94111",English,Multidisciplinary Sciences
PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES,0386-2208,1349-2896,JAPAN ACAD,"7-32, UENO PARK, TAITO-KU, TOKYO, JAPAN, 110-0007",English,Multidisciplinary Sciences
ISCIENCE,2589-0042,2589-0042,CELL PRESS,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, USA, MA, 02139",English,Multidisciplinary Sciences
3 BIOTECH,2190-572X,2190-5738,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",English,Biotechnology & Applied Microbiology
AAPS JOURNAL,1550-7416,1550-7416,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Pharmacology & Pharmacy
AAPS PHARMSCITECH,1530-9932,1530-9932,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Pharmacology & Pharmacy
ACADEMIC PEDIATRICS,1876-2859,1876-2867,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,Pediatrics
ACAROLOGIA,0044-586X,2107-7207,ACAROLOGIA-UNIVERSITE PAUL VALERY,"SERVICES PUBLICATIONS, 17 REU ABBE DE L EPEE, MONTPELLIER, FRANCE, 34090",Multi-Language,Entomology
ACS BIOMATERIALS SCIENCE & ENGINEERING,2373-9878,2373-9878,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",English,"Materials Science, Biomaterials"
ACS CHEMICAL BIOLOGY,1554-8929,1554-8937,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",English,Biochemistry & Molecular Biology
ACS CHEMICAL NEUROSCIENCE,1948-7193,1948-7193,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",English,"Chemistry, Medicinal | Biochemistry & Molecular Biology | Neurosciences"
ACS COMBINATORIAL SCIENCE,2156-8952,2156-8944,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",English,"Chemistry, Medicinal | Chemistry, Multidisciplinary | Chemistry, Applied"
ACS INFECTIOUS DISEASES,2373-8227,2373-8227,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",English,"Chemistry, Medicinal | Infectious Diseases"
ACS MEDICINAL CHEMISTRY LETTERS,1948-5875,1948-5875,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",English,"Chemistry, Medicinal"
ACS SYNTHETIC BIOLOGY,2161-5063,2161-5063,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",English,Biochemical Research Methods
ACTA ADRIATICA,0001-5113,1846-0453,INST OCEANOGRAFIJU I RIBARSTVO,"SETALISTE I MESTROVICA 63, SPLIT, CROATIA, 21000",Multi-Language,Marine & Freshwater Biology | Oceanography
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,1651-1972,TAYLOR & FRANCIS AS,"KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154",English,"Agriculture, Dairy & Animal Science"
ACTA AMAZONICA,0044-5967,1809-4392,INST NACIONAL PESQUISAS AMAZONIA,"CAIXA POSTAL 478,  ALAMEDA COSME FERREIRA, 1756, MANAUS, BRAZIL, AMAZONAS, 00000","English, Portuguese, Spanish",Plant Sciences | Ecology | Zoology
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,1745-7270,SCIENCE PRESS,"16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717",English,Biophysics | Biochemistry & Molecular Biology
ACTA BIOCHIMICA POLONICA,0001-527X,1734-154X,ACTA BIOCHIMICA POLONICA,"PASTEURA 3, WARSAW, POLAND, 02-093",English,Biochemistry & Molecular Biology
ACTA BIOLOGICA COLOMBIANA,1900-1649,1900-1649,"UNIV NAC COLOMBIA, FAC CIENCIAS, DEPT BIOL","APARTADO AEREO 14490, BOGOTA, COLOMBIA, 00000","Spanish, English, Portuguese",Plant Sciences | Zoology
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0001-5296,1898-0295,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, PAS BRANCH CRACOW","PL DEFILAD 1, WARSZAWA, POLAND, 00-901",English,Plant Sciences
ACTA BIOMATERIALIA,1742-7061,1878-7568,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,"Materials Science, Biomaterials | Engineering, Biomedical"
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0325-2957,1851-6114,FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES,"CALLE 6, NO. 1344, LA PLATA, BUENOS AIRES, ARGENTINA, 1900",Spanish,Medical Laboratory Technology
ACTA BIOTHEORETICA,0001-5342,1572-8358,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,Mathematical & Computational Biology
ACTA BOTANICA BRASILICA,0102-3306,1677-941X,SOC BOTANICA BRASIL,"CAIXA POSTAL 3005, SAO PAULO SP, BRAZIL, 01061-970","Portuguese, English",Plant Sciences
ACTA BOTANICA CROATICA,0365-0588,1847-8476,"UNIV ZAGREB, FAC SCIENCE, DIV BIOLOGY","C/O DAMIR VILICIC, EDITOR-IN-CHIEF, DEPARTMENT OF BOTANY, ROOSEVELTOV TRG 6, ZAGREB, Croatia,  , 10000",English,Plant Sciences
ACTA BOTANICA MEXICANA,0187-7151,2448-7589,INST ECOLOGIA AC,"CENTRO REGIONAL DEL BAJIO, APARTADO POSTAL 386, PATZCUARO, MEXICO, MICHOACAN, 61600",Spanish,Plant Sciences
ACTA CARDIOLOGICA,0001-5385,1784-973X,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,Cardiac & Cardiovascular System
ACTA CARDIOLOGICA SINICA,1011-6842,,TAIWAN SOC CARDIOLOGY,"13F-1, NO. 11, MIN-CHUAN WEST ROAD, TAIPEI, TAIWAN, 104",English,Cardiac & Cardiovascular System
ACTA CLINICA BELGICA,1784-3286,2295-3337,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Medicine, General & Internal"
ACTA CLINICA CROATICA,0353-9466,1333-9451,SESTRE MILOSRDNICE UNIV HOSPITAL,"VINOGRADSKA C 29, ZAGREB, CROATIA, HR-10000",English,"Medicine, General & Internal"
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,2059-7983,2059-7983,INT UNION CRYSTALLOGRAPHY,"2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU",English,Crystallography | Biochemical Research Methods | Biophysics | Biochemistry & Molecular Biology
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,2053-230X,2053-230X,INT UNION CRYSTALLOGRAPHY,"2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU",English,Crystallography | Biochemical Research Methods | Biophysics | Biochemistry & Molecular Biology
ACTA CYTOLOGICA,0001-5547,1938-2650,KARGER,"ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",English,Pathology
ACTA DERMATO-VENEREOLOGICA,0001-5555,1651-2057,ACTA DERMATO-VENEREOLOGICA,"TRADGARDSGATAN 14, UPPSALA, SWEDEN, SE-753 09",English,Dermatology
ACTA DERMATOVENEROLOGICA CROATICA,1330-027X,1847-6538,CROATION DERMATOVENEROLOGICAL SOC,"ZAGREB UNIV HOSPITAL CTR, UNIV DEPT DERMATOLOGY & VENEROLOGY, SALATA 4, ZAGREB, CROATIA, 10000",English,Dermatology
ACTA DIABETOLOGICA,0940-5429,1432-5233,SPRINGER-VERLAG ITALIA SRL,"VIA DECEMBRIO, 28, MILAN, ITALY, 20137",English,Endocrinology & Metabolism
ACTA ENDOCRINOLOGICA-BUCHAREST,1841-0987,1843-066X,EDITURA ACAD ROMANE,"CALEA 13 SEPTEMBRIE NR 13, SECTOR 5, BUCURESTI, ROMANIA, 050711",English,Endocrinology & Metabolism
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0374-1036,1804-6487,NARODNI MUZEUM - PRIRODOVEDECKE MUZEUM,"KUNRATICE, PRAHA, CZECH REPUBLIC, CZ-148 00",English,Entomology
ACTA GASTRO-ENTEROLOGICA BELGICA,1784-3227,1784-3227,UNIV CATHOLIQUE LOUVAIN-UCL,"CLIN UNIV SAINT LUC, AVE HIPPOCRATE 10, BRUSSELS, BELGIUM, B-1200",Multi-Language,Gastroenterology & Hepatology
ACTA HAEMATOLOGICA,0001-5792,1421-9662,KARGER,"ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",English,Hematology
ACTA HISTOCHEMICA,0065-1281,1618-0372,ELSEVIER GMBH,"HACKERBRUCKE 6, MUNICH, GERMANY, 80335",Multi-Language,Cell Biology
ACTA HISTOCHEMICA ET CYTOCHEMICA,0044-5991,1347-5800,JAPAN SOC HISTOCHEMISTRY & CYTOCHEMISTRY,"C/O NAKANISHI PRINTING CO LTD, SHIMODACHIURI-OGAWA, KAMIGYO-KU, KYOTO, JAPAN, 602-8048",English,Cell Biology
ACTA MEDICA MEDITERRANEA,0393-6384,2283-9720,CARBONE EDITORE,"VIA QUINTINO SELLA, 68, PALERMO, ITALY, 90139",Italian,"Medicine, General & Internal"
ACTA MEDICA OKAYAMA,0386-300X,0386-300X,OKAYAMA UNIV MED SCHOOL,"EDITORIAL OFFICE, ACTA MEDICA OKAYAMA OKAYAMA UNIVERSITY MEDICAL SCHOOL 2-5-1 SHIKATA-CHO, KITA-KU, OKAYAMA, JAPAN, 700-8558",English,"Medicine, Research & Experimental"
ACTA MEDICA PORTUGUESA,0870-399X,1646-0758,ORDEM MEDICOS,"AV ALMIRANTE GAGO COUTINHO, 151, LISBON, PORTUGAL, 1749-084","Portuguese, English","Medicine, General & Internal"
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1217-8950,1588-2640,AKADEMIAI KIADO ZRT,"BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117",English,Microbiology | Immunology
ACTA NATURAE,2075-8251,2075-8251,RUSSIAN FEDERATION AGENCY SCIENCE & INNOVATION,"NAUCHNY PARK MGU, VLAD 1, STROENIYE 75G, LENINSKIYE GORY, MOSCOW, RUSSIA, 119991",English,Cell Biology
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,0065-1400,1689-0035,NENCKI INST EXPERIMENTAL BIOLOGY,"UL PASTEURA 3, WARSAW, POLAND, 02-093",English,Neurosciences
ACTA NEUROCHIRURGICA,0001-6268,0942-0940,SPRINGER WIEN,"SACHSENPLATZ 4-6, PO BOX 89, WIEN, AUSTRIA, A-1201",English,Surgery | Clinical Neurology
ACTA NEUROLOGICA BELGICA,0300-9009,2240-2993,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",Multi-Language,Clinical Neurology | Neurosciences
ACTA NEUROLOGICA SCANDINAVICA,0001-6314,1600-0404,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Clinical Neurology
ACTA NEUROPATHOLOGICA,0001-6322,1432-0533,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Pathology | Clinical Neurology | Neurosciences
ACTA NEUROPATHOLOGICA COMMUNICATIONS,2051-5960,2051-5960,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",English,Neurosciences
ACTA NEUROPSYCHIATRICA,1601-5215,1601-5215,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,Psychiatry | Neurosciences
ACTA OF BIOENGINEERING AND BIOMECHANICS,1509-409X,1509-409X,"WROCLAW UNIV TECHNOLOGY, FAC COMPUTER SCIENCE & MANAGEMENT","WYBRZEZE WYSPIANSKIEGO 27, WROCLAW, POLAND, 50-370",English,"Biophysics | Engineering, Biomedical"
ACTA ONCOLOGICA,0284-186X,1651-226X,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,Oncology
ACTA OPHTHALMOLOGICA,1755-375X,1755-3768,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Ophthalmology
ACTA PAEDIATRICA,0803-5253,1651-2227,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Pediatrics
ACTA PARASITOLOGICA,1230-2821,1896-1851,SPRINGER INT PUBL AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",English,Parasitology | Veterinary Sciences | Zoology
ACTA PHARMACEUTICA,1330-0075,1846-9558,SCIENDO,"BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811",English,Pharmacology & Pharmacy
ACTA PHARMACEUTICA SINICA B,2211-3835,2211-3843,"INST MATERIA MEDICA, CHINESE ACAD MEDICAL SCIENCES","C/O EDITORIAL BOARD OF ACTA PHARMACEUTICA SINICA, 1 XIANNONGTAN ST, BEIJING, PEOPLES R CHINA, 100050",English,Pharmacology & Pharmacy
ACTA PHARMACOLOGICA SINICA,1671-4083,1745-7254,NATURE PUBL GROUP,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",English,"Pharmacology & Pharmacy | Chemistry, Multidisciplinary"
ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,1861-1664,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",English,Plant Sciences
ACTA PHYSIOLOGICA,1748-1708,1748-1716,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Physiology
ACTA PHYTOTAXONOMICA ET GEOBOTANICA,1346-7565,2189-7042,"JAPANESE SOC PLANT SYSTEMATICS, UNIV TOKYO, GRADUATE SCH","BOTANICAL GARDENS, 3-7-1 HAKUSAN, TOKYO, JAPAN, 00000",English,Plant Sciences
ACTA POLONIAE PHARMACEUTICA,0001-6837,2353-5288,POLSKIE TOWARZYSTWO FARMACEUTYCZNE,"DLUGA 16, WARSAW, POLAND, 00-238",English,Pharmacology & Pharmacy
ACTA PROTOZOOLOGICA,0065-1583,1689-0027,"JAGIELLONIAN UNIV, INST ENVIRONMENTAL SCIENCES","GRONOSTAJOWA 7, KRAKOW, POLAND, 30-387",English,Microbiology
ACTA REUMATOLOGICA PORTUGUESA,0303-464X,0303-464X,PUBLISAUDE-EDICOES MEDICAS LDA,"ALAMEDA ANTONIO SERGIO 22, 4 B EDIF AMADEO SOUZA-CARDOSO, ALGES, PORTUGAL, 1495-132","Portuguese, English",Rheumatology
ACTA SCIENTIAE VETERINARIAE,1678-0345,1679-9216,UNIV FED RIO GRANDE DO SUL,"FAC VET, CAIXA POSTAL 15017, PORTO ALEGRE RS, BRAZIL, 91501-570",Portuguese,Veterinary Sciences
ACTAS ESPANOLAS DE PSIQUIATRIA,1139-9287,1578-2735,JUAN JOSE LOPEZ-IBOR FOUNDATION,"NO 2, MADRID, SPAIN, 28035",Spanish,Psychiatry | Neurosciences
ACTA SOCIETATIS BOTANICORUM POLONIAE,0001-6977,2083-9480,POLSKIE TOWARZYSTWO BOTANICZNE,"AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478",English,Plant Sciences
ACTAS UROLOGICAS ESPANOLAS,0210-4806,1699-7980,ELSEVIER ESPANA,"CALLE DE ZURBANO, 76-4TH FLR LEFT, MADRID, SPAIN, 28010",Spanish,Urology & Nephrology
ACTA TROPICA,0001-706X,1873-6254,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,Tropical Medicine | Parasitology
ACTA VETERINARIA-BEOGRAD,0567-8315,1820-7448,SCIENDO,"BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811",English,Veterinary Sciences
ACTA VETERINARIA BRNO,0001-7213,1801-7576,VETERINARNI A FARMACEUTICKA UNIVERZITA BRNO,"PALACKEHO 1-3, BRNO, CZECH REPUBLIC, CS-612 42",Multi-Language,Veterinary Sciences
ACTA VETERINARIA HUNGARICA,0236-6290,1588-2705,AKADEMIAI KIADO ZRT,"BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117",English,Veterinary Sciences
ACTA VETERINARIA SCANDINAVICA,0044-605X,1751-0147,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",English,Veterinary Sciences
ACTA VIROLOGICA,0001-723X,1336-2305,AEPRESS SRO,"BAJZOVA 7, BRATISLAVA, SLOVAKIA, 821 08",English,Virology
ACTA ZOOLOGICA,0001-7272,1463-6395,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",Multi-Language,Anatomy & Morphology | Zoology
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0360-1293,2167-9010,COGNIZANT COMMUNICATION CORP,"18 PEEKSKILL HOLLOW RD, PO BOX 37, PUTNAM VALLEY, USA, NY, 10579",English,Integrative & Complementary Medicine | Neurosciences
ACUPUNCTURE IN MEDICINE,0964-5284,1759-9873,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,Integrative & Complementary Medicine
ADANSONIA,1280-8571,1639-4798,"PUBLICATIONS SCIENTIFIQUES DU MUSEUM, PARIS","CP 39-57, RUE CUVIER, PARIS CEDEX 05, FRANCE, F-75231","English, French",Plant Sciences
ADDICTION BIOLOGY,1355-6215,1369-1600,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Biochemistry & Molecular Biology | Substance Abuse
ADIPOCYTE,2162-3945,2162-397X,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,Endocrinology & Metabolism
ADVANCED BIOLOGY,2701-0198,2701-0198,WILEY-V C H VERLAG GMBH,"POSTFACH 101161, WEINHEIM, GERMANY, 69451",,"Materials Science, Biomaterials"
ADVANCED DRUG DELIVERY REVIEWS,0169-409X,1872-8294,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,Pharmacology & Pharmacy
ADVANCED HEALTHCARE MATERIALS,2192-2640,2192-2659,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Materials Science, Biomaterials | Nanoscience & Nanotechnology | Engineering, Biomedical"
ADVANCED THERAPEUTICS,2366-3987,2366-3987,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Pharmacology & Pharmacy
ADVANCEMENTS OF MICROBIOLOGY,0079-4252,2545-3149,POLSKIE TOWARZYSTWO MIKROBIOLOGOW-POLISH SOCIETY OF MICROBIOLOGISTS,"BANACHA 1 B, WARSAW, Poland, 02-097","English, Polish",Microbiology
ADVANCES IN ANATOMIC PATHOLOGY,1072-4109,1533-4031,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,Pathology
ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY,0301-5556,2192-7065,SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",English,Anatomy & Morphology | Cell Biology
ADVANCES IN APPLIED MICROBIOLOGY,0065-2164,,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,Microbiology | Biotechnology & Applied Microbiology
ADVANCES IN BIOCHEMICAL ENGINEERING-BIOTECHNOLOGY,0724-6145,1616-8542,SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",English,Biotechnology & Applied Microbiology
ADVANCES IN BOTANICAL RESEARCH,0065-2296,2162-5948,ACADEMIC PRESS LTD-ELSEVIER SCIENCE LTD,"125 LONDON WALL, LONDON, ENGLAND, EC2Y 5AS",English,Plant Sciences
ADVANCES IN CANCER RESEARCH,0065-230X,2162-5557,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,Oncology
ADVANCES IN CARBOHYDRATE CHEMISTRY AND BIOCHEMISTRY,0065-2318,2162-5530,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Chemistry, Organic | Biochemistry & Molecular Biology"
ADVANCES IN CHRONIC KIDNEY DISEASE,1548-5595,1548-5609,W B SAUNDERS CO-ELSEVIER INC,"1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899",English,Urology & Nephrology
ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,1899-5276,2451-2680,WROCLAW MEDICAL UNIV,"Wybrzeze L Pasteura 1, WROCLAW, Poland, 50-367",English,"Medicine, Research & Experimental"
ADVANCES IN CLINICAL CHEMISTRY,0065-2423,2162-9471,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,Medical Laboratory Technology
ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY,0065-2598,2214-8019,SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",English,"Medicine, Research & Experimental | Biology"
ADVANCES IN GENETICS,0065-2660,,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,Genetics & Heredity
ADVANCES IN IMMUNOLOGY,0065-2776,1557-8445,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,Immunology
ADVANCES IN INSECT PHYSIOLOGY,0065-2806,2213-6800,ACADEMIC PRESS LTD-ELSEVIER SCIENCE LTD,"125 LONDON WALL, LONDON, ENGLAND, EC2Y 5AS",English,Entomology
ADVANCES IN MARINE BIOLOGY,0065-2881,2162-5875,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,Marine & Freshwater Biology
ADVANCES IN MEDICAL SCIENCES,1896-1126,1898-4002,ELSEVIER URBAN & PARTNER SP Z O O,"UL MIGDALOWA 4, LOK 59, WROCLAW, POLAND, 02-796",English,"Medicine, Research & Experimental"
ADVANCES IN MICROBIAL PHYSIOLOGY,0065-2911,2162-5468,ACADEMIC PRESS LTD-ELSEVIER SCIENCE LTD,"125 LONDON WALL, LONDON, ENGLAND, EC2Y 5AS",English,Microbiology | Biochemistry & Molecular Biology
ADVANCES IN PARASITOLOGY,0065-308X,2163-6079,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,Parasitology
ADVANCES IN PHYSIOLOGY EDUCATION,1043-4046,1522-1229,AMER PHYSIOLOGICAL SOC,"6120 Executive Blvd, Suite 600, Rockville, United States, MD, 20852",English,"Physiology | Education, Scientific Disciplines"
ADVANCES IN PROTEIN CHEMISTRY AND STRUCTURAL BIOLOGY,1876-1623,1876-1623,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,Biochemistry & Molecular Biology
ADVANCES IN PSYCHOSOMATIC MEDICINE,0065-3268,1662-2855,KARGER,"POSTFACH, BASEL, SWITZERLAND, CH-4009",,Clinical Neurology | Psychiatry
ADVANCES IN RHEUMATOLOGY,2523-3106,2523-3106,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",English,Rheumatology
ADVANCES IN SKIN & WOUND CARE,1527-7941,1538-8654,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,Nursing | Surgery | Dermatology
ADVANCES IN THERAPY,0741-238X,1865-8652,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Medicine, Research & Experimental | Pharmacology & Pharmacy"
ADVANCES IN VIRUS RESEARCH,0065-3527,1557-8399,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,Virology
ADVANCES IN WEED SCIENCE,2675-9462,2675-9462,SOC BRASILEIRA CIENCIA PLANTAS DANINHAS-SBCPD,"VIA ACESSO PROF PAULO DONATO CASTELLANE S-N, FCAV-UNESP DEPT FITOSSANIDE, JABOTICABAL, Brazil, SP 14884-900",,Plant Sciences
ADVANCES IN WOUND CARE,2162-1918,2162-1934,"MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801",English,Dermatology
AEROBIOLOGIA,0393-5965,1573-3025,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,Biology | Environmental Sciences
AEROSPACE MEDICINE AND HUMAN PERFORMANCE,2375-6314,2375-6322,AEROSPACE MEDICAL ASSOC,"320 S HENRY ST, ALEXANDRIA, USA, VA, 22314-3579",English,"Medicine, Research & Experimental | Biophysics | Public, Environmental & Occupational Health"
AFRICAN ENTOMOLOGY,1021-3589,1026-4914,ENTOMOLOGICAL SOC SOUTHERN AFRICA,"PO BOX 13162, HATFIELD, SOUTH AFRICA, 0028",Multi-Language,Entomology
